price_zar,city,suburb,property_type,bedrooms,bathrooms,parkings,floor_size_m2,erf_size_m2,title,source_text,province,garages
1670000.0,,Close,Townhouse,2.0,2.0,2.0,108.0,,,"171 Ss Malakite, 10 Stone Close",Gauteng,0.0
1149900.0,,Lethabong,Apartment,2.0,2.0,2.0,78.0,,,"Founders Hill Crescent, Antwerp Road, Founders Hill, Lethabong",Gauteng,0.0
1495000.0,,Lethabong,Townhouse,2.0,2.0,2.0,103.0,,,"Westlake Eco-Estate, 63 Westfield Rd, Lethabong",Gauteng,0.0
749000.0,,Baker,Apartment,2.0,1.0,2.0,68.0,,,15 Baker,Gauteng,0.0
1670000.0,,Close,Townhouse,2.0,2.0,2.0,108.0,,,10 Stone Close,Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,109.0,,,"46 Ss Malakite, 344 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,"604 Ss Malakite, 10 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,"33 Ss Malakite, 10 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,"404 Ss Malakite, 10 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,109.0,,,"3511 Ss Malakite, 10 Stone Close",Gauteng,0.0
1399900.0,,Close,Townhouse,2.0,2.0,2.0,110.0,,,"404 Ss Malakite, 10 Stone Close",Gauteng,0.0
1280000.0,,Boulevard,Townhouse,2.0,2.0,2.0,101.0,,,1 Emerald Boulevard,Gauteng,0.0
750000.0,,Modderfontein,Apartment,1.0,1.0,1.0,45.0,,,Modderfontein Modderfontein,Gauteng,0.0
899900.0,,Close,Apartment,1.0,1.0,1.0,59.0,,,"120039 Ss Malakite, 10 Stone Close",Gauteng,0.0
1170000.0,,Boulevard,Apartment,2.0,1.0,2.0,82.0,,,"365 Ss Acacia, 36 Emerald Boulevard",Gauteng,0.0
799900.0,,Close,Apartment,1.0,1.0,1.0,44.0,,,"120007 Ss Malakite, 10 Stone Close",Gauteng,0.0
900000.0,,Close,Apartment,2.0,2.0,1.0,71.0,,,"777445522 Ss Strelitzia, 4 Stone Close",Gauteng,0.0
1649000.0,,Lane,Townhouse,2.0,2.0,2.0,104.0,,,"2101 Fish Eagle View, 15c Benacre Lane",Gauteng,0.0
1649000.0,,Lane,Townhouse,2.0,2.0,2.0,104.0,,,"2101 Fish Eagle View, 15c Benacre Lane",Gauteng,0.0
1299900.0,,Close,Townhouse,2.0,2.0,2.0,105.0,,,"40125 Ss Malakite, 10 Stone Close",Gauteng,0.0
1150000.0,,Blvd,Apartment,2.0,2.0,2.0,89.0,,,"Gr1 Greenstone Ridge, 1 Emerald Blvd",Gauteng,0.0
5950000.0,,Village,House,4.0,1.0,1.0,520.0,,,1 Old Thomas River Village,Gauteng,0.0
750000.0,,Terrace,Apartment,2.0,1.0,1.0,79.0,,,1 Mayville Terrace,Gauteng,0.0
1275000.0,,Amanzimtoti,Apartment,2.0,1.0,2.0,74.0,,,"50 Arbour Road, Amanzimtoti",KwaZulu-Natal,0.0
